target_lower,source_lower,scale_factor,TEMP
5.2188,154.0620213018279,0.29253296090242314,43.3834
5.2384,154.1552384644596,0.26752949288904104,43.4197
5.25,154.05937143575957,0.2549295914770981,43.4494
5.25,153.8146523317981,0.25651405386767806,43.4824
5.29,153.72831933200843,0.24510256439150102,43.5211
5.31,153.72831933200843,0.3161287606345794,43.5969
5.31,153.72831933200843,0.32104991002178124,43.7614
5.302,153.659797665545,0.3215077149226823,43.7333
5.314,153.3743066165319,0.30345299663217135,43.757
5.36,153.21239061106957,0.3295623346949412,43.76
5.42,153.09038996774973,0.4211373244876735,43.7776
5.4472,153.0826492726204,0.49147241275175857,43.8094
5.3852,153.0826492726204,0.44866113146870235,43.8294
5.34,153.0826492726204,0.4267075032370671,43.83
5.3048,153.0826492726204,0.46033563434678276,43.8605
5.2563996,153.0826492726204,0.3985944816684634,43.8997
5.21,153.0826492726204,0.3619003103918748,43.6214
5.2184,153.21239061106957,0.4120679202180131,43.5926
5.2184,153.279632117614,0.41941566790609436,43.673
5.2400002,153.56941492475545,0.44812412599829166,43.7395
5.2563996,153.57582440967784,0.4442311600250532,43.8014
5.282,153.5815820728305,0.48890018668699925,43.8494
5.298,153.81323360160687,0.5417996224057188,43.8379
5.2392,154.16888495237015,0.6309830360557084,42.7904
5.0499997,154.16888495237015,0.6968381660847526,42.8008
5.0499997,154.16888495237015,0.6947270142137064,42.834
4.96,154.36945388265298,0.7828144636749591,42.8724
4.8528,154.4290743855674,0.841706265914313,42.8905
4.764,154.4843394660984,0.8303052488747582,42.9187
4.7568,154.4843394660984,0.7985272571513062,42.9259
4.6896,154.68588975159545,0.6176957641675034,42.9312
4.6488,154.85422261969086,0.5305567915093716,42.9344
4.6488,154.98803834683304,0.5383431490500946,42.9376
4.6488,155.45531889866135,0.5940898625966883,42.94
4.6488,156.01864352524055,0.6330373308447194,42.9405
4.6,156.0934668822119,0.5841508857164397,43.0511
4.51,156.0934668822119,0.637361304098661,43.07
4.5088,156.0934668822119,0.6378192882692707,43.0916
4.4408,156.0934668822119,0.6637717246038268,43.13
4.4408,156.0934668822119,0.6877395628657406,43.1739
4.4516,155.99980076419143,0.746227285107528,43.22
4.4516,155.94208822306138,0.722898110369267,43.2476
4.4516,155.94208822306138,0.7031820698696759,43.25
4.4516,155.94208822306138,0.6579773322927117,43.229
4.4516,155.94208822306138,0.7154211941786225,43.16
4.4516,155.94208822306138,0.6866329351561886,43.16
4.4516,155.8375315550661,0.6019651938074709,43.1766
4.4632,155.40449814337177,0.5588835740435159,43.2603
4.4632,155.21763901290632,0.533988167299532,43.3632
4.4632,154.94943293955453,0.5379364853495567,43.4477
4.4632,154.86280585498972,0.6613190130835659,43.493
4.63,155.0917611677223,0.9215558218011474,43.533
4.73,155.09499169519827,0.9456132446184288,43.55
4.7660003,155.09499169519827,0.9410069208964249,43.469
4.8448,155.09499169519827,0.9761778747195129,43.43
5.024,155.09499169519827,0.9988541856522823,43.3976
5.0848002,155.05957258838072,1.039854308319443,43.428
5.0848002,154.5569679732281,0.9088432145136113,43.4798
5.2176,154.3711288767255,0.9127534020592702,43.5275
5.37,154.16090139653872,0.9056399109346033,43.5566
5.4916,154.13164728250933,0.8689480414440556,43.64
5.61,154.09641546838586,0.8617040402557679,43.6599
5.9748,154.09641546838586,0.8836180583617319,43.5765
5.9356,154.09641546838586,0.894411348866462,43.56
5.5952,153.98222460843024,0.9580155972100168,43.5394
5.43,153.51790953753175,0.9067802959045738,43.52
5.37,153.2981142274923,0.8792234087016725,43.51
5.37,153.2457397140783,0.7967712462487396,43.5306
5.37,152.83332426600705,0.749046047784854,43.5924
5.38,152.391893424182,0.7066203712996181,43.6544
5.38,151.8077652267858,0.6298831429134663,43.7817
5.3640003,151.04164069201647,0.5446442497013982,43.8747
5.2184,149.5088787243949,0.44627605165216117,44.0155
5.0596,148.8629463765296,0.42867819521762063,44.0606
5.0596,148.81499888977623,0.41865141687424234,44.06
5.0596,148.74948843263607,0.4150590699225114,44.0731
5.0596,148.62607534491124,0.414257676074402,44.1969
5.0596,148.61196169987838,0.4437966459606706,44.3151
5.0596,148.5667240201169,0.45980524045971327,44.4782
5.0596,148.2468744956253,0.4587374532944871,44.5547
5.0596,148.06286572898355,0.47252725763889214,44.61
4.9556,147.8581193624408,0.4246380404505268,44.6606
4.9556,147.8064093631165,0.39802206528084405,44.7808
4.9007998,147.31080330722307,0.3897733199208535,44.7686
4.6644,146.36943757506478,0.4033459362396021,44.7494
4.6644,145.0023216941556,0.33445343322420246,44.7428
4.6644,144.72681269693348,0.35023440602993855,44.74
4.7483997,144.58687609900622,0.4117384336481671,44.74
4.9364,143.9010607673058,0.4152930825878515,44.75
5.0824003,143.63076035820913,0.5000586161957332,44.7803
5.1868,143.36139346123454,0.5309515031736153,44.8298
5.1868,143.35149919681623,0.6309761722643701,44.8658
5.1868,143.35149919681623,0.7002609369645958,45.2174
5.1868,143.35149919681623,0.7002609369645958,45.22
5.1868,143.35149919681623,0.7093082682779517,45.2394
5.0976,143.35149919681623,0.7928761672821425,45.2696
5.0976,143.35149919681623,0.8105554451380992,45.2867
5.0808,143.35149919681623,0.843805172911075,45.3173
4.82,143.35149919681623,1.0460499089761846,45.3664
4.518,143.32352653369182,1.2296196622885656,45.4411
4.51,143.2702294558775,1.227804711422795,45.5183
4.51,142.97060639576762,1.116412910986871,45.5528
4.51,142.45431915899997,1.2135907852083383,45.5307
4.51,141.99729293102428,1.398632858702521,45.5095
4.51,141.57354653976373,1.431567737886761,45.4818
4.51,141.23859878169958,1.644354886485895,45.467
4.51,140.78634440835316,1.5589088536612856,45.45
4.50192032,140.0360823229891,1.3311278715533859,45.44
4.51928032,139.9954818907323,1.3175580262335347,45.4354
4.5132,139.9921819058457,1.3246193422638495,45.4358
